layer_idx,mean_norm,std_norm,cos_to_L34,cos_to_next_argmax_embed,logit_lens_logp,agree_top1,agree_top5
0,40.57805633544922,2.7867283821105957,-0.0018919057911261916,0.005491750780493021,-30.55583381652832,0.0,0.0
1,28.709774017333984,2.1106159687042236,-0.00033848435850813985,-0.005715036764740944,-36.43056106567383,0.0,0.0
2,30.12523651123047,4.320055961608887,0.0006683165556751192,-0.003981735557317734,-35.95476531982422,0.0,0.0
3,60.06753921508789,7.500969886779785,0.0012572143459692597,-0.007960020564496517,-37.95488357543945,0.0,0.0
4,90.69681549072266,9.106403350830078,0.003062053583562374,-0.0070912498049438,-37.23334884643555,0.0,0.0
5,81.27672576904297,10.411205291748047,0.0015854946104809642,-0.009175117127597332,-38.327274322509766,0.0,0.0
6,73.26664733886719,8.379837989807129,0.00036038493271917105,-0.010684235952794552,-39.529075622558594,0.0,0.0
7,72.66351318359375,7.592260837554932,0.002041148254647851,-0.008886255323886871,-39.12388229370117,0.0,0.0
8,72.55863952636719,4.456642150878906,0.004276208113878965,-0.009572678245604038,-39.48451614379883,0.0,0.0
9,68.06558990478516,4.638848781585693,0.0037067197263240814,-0.00657566636800766,-38.260990142822266,0.0,0.0
10,56.279449462890625,3.3755555152893066,0.005053482484072447,-0.010520817711949348,-40.14408493041992,0.0,0.0
11,49.259212493896484,4.160604953765869,0.006402899045497179,-0.01120903342962265,-40.16387939453125,0.0,0.0
12,52.009456634521484,4.316540718078613,0.019230980426073074,-0.004045153968036175,-37.0224609375,0.0,0.0
13,41.44367218017578,5.287525653839111,-0.005647909827530384,-0.010668059810996056,-39.936153411865234,0.0,0.0
14,66.12506866455078,4.235054969787598,-0.0015477478737011552,0.006102481856942177,-31.421382904052734,0.0,0.0
15,70.11963653564453,3.31438946723938,-0.006418544799089432,0.01082080602645874,-29.12220573425293,0.0,0.0
16,74.10710906982422,3.4883339405059814,-0.004353972617536783,0.006771912332624197,-33.62504196166992,0.0,0.0
17,72.60075378417969,4.116792678833008,-0.0032194105442613363,0.023444298654794693,-25.838354110717773,0.0,0.0
18,73.46825408935547,3.044508695602417,-0.0018039888236671686,0.018088847398757935,-28.647932052612305,0.0,0.0
19,65.69120788574219,1.9920493364334106,-0.008544396609067917,0.0226316899061203,-28.43890953063965,0.0,0.0
20,60.774261474609375,2.6446990966796875,0.0010322974994778633,0.0026697178836911917,-37.54751968383789,0.0,0.0
21,63.41552734375,3.0870230197906494,0.007132221013307571,-0.0034878391306847334,-37.88956069946289,0.0,0.0
22,66.8402328491211,1.8198906183242798,0.024653730913996696,-0.009193645790219307,-37.42384338378906,0.003027245169505477,0.006054490339010954
23,61.10433578491211,2.0504887104034424,0.07062561064958572,0.0026002530939877033,-28.35172462463379,0.01109989918768406,0.030272452160716057
24,68.23628234863281,2.8329529762268066,0.1148434653878212,0.02190827578306198,-17.626876831054688,0.026236124336719513,0.05449041351675987
25,69.31837463378906,3.6440958976745605,0.13366271555423737,0.01970202475786209,-17.13480567932129,0.0343087799847126,0.05953582376241684
26,74.03316497802734,3.348137617111206,0.14260384440422058,0.017328934744000435,-16.89665985107422,0.03935418650507927,0.06256306916475296
27,82.1901626586914,3.395773410797119,0.15762224793434143,0.01495781447738409,-15.853924751281738,0.03632694110274315,0.06357214599847794
28,88.93578338623047,4.566484451293945,0.19427303969860077,0.012483347207307816,-16.070011138916016,0.02825428918004036,0.04742684215307236
29,94.54378509521484,6.915126323699951,0.22863659262657166,0.015154717490077019,-13.131282806396484,0.02825428918004036,0.07063572108745575
30,91.47882843017578,6.170806884765625,0.263070285320282,0.014416052959859371,-12.989234924316406,0.03329969570040703,0.06962663680315018
31,86.07757568359375,4.592920780181885,0.31175336241722107,0.014549899846315384,-12.088594436645508,0.04238143190741539,0.08274470269680023
32,81.80467224121094,4.076926231384277,0.3783748149871826,0.015977486968040466,-11.755581855773926,0.041372351348400116,0.08980827778577805
33,69.06259155273438,3.770137071609497,0.5190650820732117,0.03293587267398834,-5.239877700805664,0.25428858399391174,0.4853683114051819
34,171.5865936279297,39.91216278076172,0.9999998807907104,0.03917257487773895,-1.0150660276412964,1.0,1.0
